STATN	REG_ID	YEAR	MONTH	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	1987	5	>= 225.0 m	-3.2336040000000006	1
BY15 GOTLANDSDJ	135404	1987	9	>= 225.0 m	-2.9172000000000002	1
BY15 GOTLANDSDJ	135404	1987	11	>= 225.0 m	-2.1205800000000004	1
BY15 GOTLANDSDJ	135404	1988	1	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1988	5	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1988	8	>= 225.0 m	-2.167704	1
BY15 GOTLANDSDJ	135404	1988	11	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1989	1	>= 225.0 m	-2.997984	1
BY15 GOTLANDSDJ	135404	1989	5	>= 225.0 m	-2.645676	1
BY15 GOTLANDSDJ	135404	1989	8	>= 225.0 m	-3.5904000000000003	1
BY15 GOTLANDSDJ	135404	1989	11	>= 225.0 m	-2.64792	1
BY15 GOTLANDSDJ	135404	1990	1	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1990	5	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1990	8	>= 225.0 m	-5.037780000000001	1
BY15 GOTLANDSDJ	135404	1990	11	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1991	1	>= 225.0 m	-3.659964	1
BY15 GOTLANDSDJ	135404	1991	5	>= 225.0 m		0
BY15 GOTLANDSDJ	135404	1991	9	>= 225.0 m	-1.386792	1
BY15 GOTLANDSDJ	135404	1991	11	>= 225.0 m	-4.279308	1
BY15 GOTLANDSDJ	135404	1992	1	>= 225.0 m	-2.0891640000000002	1
BY15 GOTLANDSDJ	135404	1992	3	>= 225.0 m	-4.209744000000001	1
BY15 GOTLANDSDJ	135404	1992	5	>= 225.0 m	-4.176084	1
BY15 GOTLANDSDJ	135404	1992	8	>= 225.0 m	-3.491664	1
BY15 GOTLANDSDJ	135404	1992	11	>= 225.0 m	-2.347224	1
BY15 GOTLANDSDJ	135404	1993	3	>= 225.0 m	-4.452096	1
BY15 GOTLANDSDJ	135404	1993	4	>= 225.0 m	-0.19747199999999998	1
BY15 GOTLANDSDJ	135404	1993	6	>= 225.0 m	1.3333333333333333	1
BY15 GOTLANDSDJ	135404	1993	7	>= 225.0 m	0.435	1
BY15 GOTLANDSDJ	135404	1993	8	>= 225.0 m	0.09080399999999997	2
BY15 GOTLANDSDJ	135404	1993	10	>= 225.0 m	-0.30994400000000005	1
BY15 GOTLANDSDJ	135404	1993	11	>= 225.0 m	0.06	1
BY15 GOTLANDSDJ	135404	1993	12	>= 225.0 m	-0.935748	1
BY15 GOTLANDSDJ	135404	1994	1	>= 225.0 m	-1.2308340000000002	1
BY15 GOTLANDSDJ	135404	1994	2	>= 225.0 m	-1.016532	1
BY15 GOTLANDSDJ	135404	1994	3	>= 225.0 m	0.2955266666666667	2
BY15 GOTLANDSDJ	135404	1994	4	>= 225.0 m	2.975	1
BY15 GOTLANDSDJ	135404	1994	5	>= 225.0 m	3.203333333333333	1
BY15 GOTLANDSDJ	135404	1994	7	>= 225.0 m	2.2649999999999997	1
BY15 GOTLANDSDJ	135404	1994	8	>= 225.0 m	1.6766666666666667	1
BY15 GOTLANDSDJ	135404	1994	9	>= 225.0 m	1.9975	1
BY15 GOTLANDSDJ	135404	1994	10	>= 225.0 m	1.6433333333333333	1
BY15 GOTLANDSDJ	135404	1994	11	>= 225.0 m	1.145	1
BY15 GOTLANDSDJ	135404	1995	1	>= 225.0 m	1.48	1
BY15 GOTLANDSDJ	135404	1995	2	>= 225.0 m	1.21	1
BY15 GOTLANDSDJ	135404	1995	3	>= 225.0 m	1.2361111111111114	3
BY15 GOTLANDSDJ	135404	1995	4	>= 225.0 m	1.04	1
BY15 GOTLANDSDJ	135404	1995	5	>= 225.0 m	0.885	1
BY15 GOTLANDSDJ	135404	1995	6	>= 225.0 m	1.1724999999999999	1
BY15 GOTLANDSDJ	135404	1995	7	>= 225.0 m	0.775	1
BY15 GOTLANDSDJ	135404	1995	8	>= 225.0 m	0.305	1
BY15 GOTLANDSDJ	135404	1995	9	>= 225.0 m	0.185	1
BY15 GOTLANDSDJ	135404	1995	10	>= 225.0 m	0.165	1
BY15 GOTLANDSDJ	135404	1995	11	>= 225.0 m	0.33666666666666667	1
BY15 GOTLANDSDJ	135404	1995	12	>= 225.0 m	0.19	1
BY15 GOTLANDSDJ	135404	1996	1	>= 225.0 m	0.04517999999999999	1
BY15 GOTLANDSDJ	135404	1996	2	>= 225.0 m	0.04029999999999999	1
BY15 GOTLANDSDJ	135404	1996	3	>= 225.0 m	0.149914	2
BY15 GOTLANDSDJ	135404	1996	4	>= 225.0 m	0.17518	1
BY15 GOTLANDSDJ	135404	1996	5	>= 225.0 m	0.18008000000000002	1
BY15 GOTLANDSDJ	135404	1996	6	>= 225.0 m	-0.07946000000000003	1
BY15 GOTLANDSDJ	135404	1996	7	>= 225.0 m	-0.53856	1
BY15 GOTLANDSDJ	135404	1996	8	>= 225.0 m	-0.96492	1
BY15 GOTLANDSDJ	135404	1996	9	>= 225.0 m	-1.02102	1
BY15 GOTLANDSDJ	135404	1996	10	>= 225.0 m	-1.2416800000000001	1
BY15 GOTLANDSDJ	135404	1996	11	>= 225.0 m	-1.13696	1
BY15 GOTLANDSDJ	135404	1996	12	>= 225.0 m	-0.9200400000000001	1
