STATN	REG_ID	YEAR	MONTH	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	1996	4	0-10 m	32.22	1
BY15 GOTLANDSDJ	135404	1996	5	0-10 m	20.9	1
BY15 GOTLANDSDJ	135404	1996	6	0-10 m	21.675	1
BY15 GOTLANDSDJ	135404	1996	7	0-10 m	21.35	1
BY15 GOTLANDSDJ	135404	1996	8	0-10 m	22.125	1
BY15 GOTLANDSDJ	135404	1996	9	0-10 m	21.4	1
BY15 GOTLANDSDJ	135404	1996	10	0-10 m	21.0	1
BY15 GOTLANDSDJ	135404	1996	11	0-10 m	18.6	1
BY15 GOTLANDSDJ	135404	1996	12	0-10 m	19.25	1
BY15 GOTLANDSDJ	135404	1997	1	0-10 m	21.2	1
BY15 GOTLANDSDJ	135404	1997	3	0-10 m	19.8875	2
BY15 GOTLANDSDJ	135404	1997	4	0-10 m	17.675	1
BY15 GOTLANDSDJ	135404	1997	6	0-10 m	20.05	1
BY15 GOTLANDSDJ	135404	1997	7	0-10 m		0
BY15 GOTLANDSDJ	135404	1997	8	0-10 m	21.200000000000003	1
BY15 GOTLANDSDJ	135404	1997	9	0-10 m	17.725	1
BY15 GOTLANDSDJ	135404	1997	10	0-10 m	18.7	1
BY15 GOTLANDSDJ	135404	1997	11	0-10 m	19.125	2
BY15 GOTLANDSDJ	135404	1997	12	0-10 m	17.575	1
BY15 GOTLANDSDJ	135404	1998	1	0-10 m	19.099999999999998	1
BY15 GOTLANDSDJ	135404	1998	2	0-10 m	20.966666666666665	1
BY15 GOTLANDSDJ	135404	1998	3	0-10 m	22.783333333333335	2
BY15 GOTLANDSDJ	135404	1998	4	0-10 m	19.8	1
BY15 GOTLANDSDJ	135404	1998	6	0-10 m	19.40416666666667	2
BY15 GOTLANDSDJ	135404	1998	7	0-10 m	22.099999999999998	1
BY15 GOTLANDSDJ	135404	1998	8	0-10 m	21.7	1
BY15 GOTLANDSDJ	135404	1998	9	0-10 m	19.833333333333332	1
BY15 GOTLANDSDJ	135404	1998	10	0-10 m	15.933333333333332	1
BY15 GOTLANDSDJ	135404	1998	11	0-10 m	18.266666666666666	1
BY15 GOTLANDSDJ	135404	1998	12	0-10 m	20.6	2
BY15 GOTLANDSDJ	135404	1999	1	0-10 m	19.266666666666666	1
BY15 GOTLANDSDJ	135404	1999	2	0-10 m	21.0	1
BY15 GOTLANDSDJ	135404	1999	3	0-10 m	23.7	1
BY15 GOTLANDSDJ	135404	1999	4	0-10 m	26.933333333333334	1
BY15 GOTLANDSDJ	135404	1999	5	0-10 m	22.53333333333333	1
BY15 GOTLANDSDJ	135404	1999	6	0-10 m	21.5	1
BY15 GOTLANDSDJ	135404	1999	7	0-10 m	21.399999999999995	1
BY15 GOTLANDSDJ	135404	1999	8	0-10 m	24.233333333333334	2
BY15 GOTLANDSDJ	135404	1999	9	0-10 m	21.633333333333336	1
BY15 GOTLANDSDJ	135404	1999	10	0-10 m	18.833333333333332	1
BY15 GOTLANDSDJ	135404	1999	12	0-10 m	20.900000000000002	1
BY15 GOTLANDSDJ	135404	2000	1	0-10 m	23.1	1
BY15 GOTLANDSDJ	135404	2000	2	0-10 m	21.933333333333334	1
BY15 GOTLANDSDJ	135404	2000	3	0-10 m	22.041666666666664	2
BY15 GOTLANDSDJ	135404	2000	4	0-10 m	23.900000000000002	1
BY15 GOTLANDSDJ	135404	2000	5	0-10 m	19.866666666666664	1
BY15 GOTLANDSDJ	135404	2000	6	0-10 m	18.266666666666666	1
BY15 GOTLANDSDJ	135404	2000	7	0-10 m	24.133333333333336	1
BY15 GOTLANDSDJ	135404	2000	8	0-10 m	21.849999999999998	2
BY15 GOTLANDSDJ	135404	2000	10	0-10 m	21.25	1
BY15 GOTLANDSDJ	135404	2000	11	0-10 m	18.099999999999998	1
BY15 GOTLANDSDJ	135404	2000	12	0-10 m	20.633333333333336	1
BY15 GOTLANDSDJ	135404	2001	1	0-10 m	19.633333333333333	1
BY15 GOTLANDSDJ	135404	2001	3	0-10 m	19.316666666666663	2
BY15 GOTLANDSDJ	135404	2001	4	0-10 m	18.966666666666665	1
BY15 GOTLANDSDJ	135404	2001	5	0-10 m	19.933333333333334	1
BY15 GOTLANDSDJ	135404	2001	6	0-10 m	20.433333333333334	1
BY15 GOTLANDSDJ	135404	2001	7	0-10 m	21.033333333333335	1
BY15 GOTLANDSDJ	135404	2001	8	0-10 m	23.5	2
BY15 GOTLANDSDJ	135404	2001	10	0-10 m	19.166666666666668	1
BY15 GOTLANDSDJ	135404	2001	11	0-10 m	18.03333333333333	1
BY15 GOTLANDSDJ	135404	2001	12	0-10 m	20.333333333333332	1
BY15 GOTLANDSDJ	135404	2002	1	0-10 m	18.166666666666668	1
BY15 GOTLANDSDJ	135404	2002	3	0-10 m	21.166666666666668	1
BY15 GOTLANDSDJ	135404	2002	4	0-10 m	21.866666666666664	1
BY15 GOTLANDSDJ	135404	2002	5	0-10 m	20.133333333333336	1
BY15 GOTLANDSDJ	135404	2002	6	0-10 m	22.7	1
BY15 GOTLANDSDJ	135404	2002	7	0-10 m	23.866666666666664	1
BY15 GOTLANDSDJ	135404	2002	8	0-10 m	21.566666666666666	2
BY15 GOTLANDSDJ	135404	2002	9	0-10 m	18.46666666666667	1
BY15 GOTLANDSDJ	135404	2002	11	0-10 m	21.033333333333335	1
BY15 GOTLANDSDJ	135404	2002	12	0-10 m	24.233333333333334	1
BY15 GOTLANDSDJ	135404	2003	1	0-10 m	20.099999999999998	1
BY15 GOTLANDSDJ	135404	2003	2	0-10 m	20.433333333333334	1
BY15 GOTLANDSDJ	135404	2003	3	0-10 m	19.900000000000002	1
BY15 GOTLANDSDJ	135404	2003	4	0-10 m	20.633333333333333	1
BY15 GOTLANDSDJ	135404	2003	5	0-10 m	17.933333333333334	1
BY15 GOTLANDSDJ	135404	2003	6	0-10 m	20.833333333333332	1
BY15 GOTLANDSDJ	135404	2003	7	0-10 m	23.15833333333333	2
BY15 GOTLANDSDJ	135404	2003	8	0-10 m	19.633333333333336	1
BY15 GOTLANDSDJ	135404	2003	9	0-10 m	19.766666666666666	1
BY15 GOTLANDSDJ	135404	2003	10	0-10 m	20.3	1
BY15 GOTLANDSDJ	135404	2003	11	0-10 m	18.733333333333334	1
BY15 GOTLANDSDJ	135404	2003	12	0-10 m	18.7	1
BY15 GOTLANDSDJ	135404	2004	1	0-10 m	19.400000000000002	1
BY15 GOTLANDSDJ	135404	2004	2	0-10 m	18.666666666666668	1
BY15 GOTLANDSDJ	135404	2004	3	0-10 m	19.5	1
BY15 GOTLANDSDJ	135404	2004	4	0-10 m	20.933333333333334	1
BY15 GOTLANDSDJ	135404	2004	5	0-10 m	22.066666666666666	1
BY15 GOTLANDSDJ	135404	2004	6	0-10 m	20.5	1
BY15 GOTLANDSDJ	135404	2004	7	0-10 m	21.483333333333334	2
BY15 GOTLANDSDJ	135404	2004	8	0-10 m	22.333333333333332	1
BY15 GOTLANDSDJ	135404	2004	9	0-10 m	20.533333333333335	1
BY15 GOTLANDSDJ	135404	2004	10	0-10 m	20.266666666666666	1
BY15 GOTLANDSDJ	135404	2004	11	0-10 m	18.633333333333333	1
BY15 GOTLANDSDJ	135404	2004	12	0-10 m	19.5	1
BY15 GOTLANDSDJ	135404	2005	1	0-10 m	18.900000000000002	1
BY15 GOTLANDSDJ	135404	2005	2	0-10 m	21.266666666666666	1
BY15 GOTLANDSDJ	135404	2005	4	0-10 m	23.46666666666667	2
BY15 GOTLANDSDJ	135404	2005	5	0-10 m	22.0	1
BY15 GOTLANDSDJ	135404	2005	6	0-10 m	21.2	1
BY15 GOTLANDSDJ	135404	2005	7	0-10 m	25.166666666666668	1
BY15 GOTLANDSDJ	135404	2005	8	0-10 m	23.866666666666664	1
BY15 GOTLANDSDJ	135404	2005	9	0-10 m	21.316666666666666	2
BY15 GOTLANDSDJ	135404	2005	10	0-10 m	19.5	1
BY15 GOTLANDSDJ	135404	2005	11	0-10 m	20.46666666666667	1
BY15 GOTLANDSDJ	135404	2005	12	0-10 m	20.066666666666666	1
BY15 GOTLANDSDJ	135404	2006	1	0-10 m	20.233333333333334	1
BY15 GOTLANDSDJ	135404	2006	3	0-10 m	22.349999999999998	2
BY15 GOTLANDSDJ	135404	2006	4	0-10 m	21.099999999999998	1
BY15 GOTLANDSDJ	135404	2006	5	0-10 m	20.400000000000002	1
BY15 GOTLANDSDJ	135404	2006	6	0-10 m	20.066666666666666	1
BY15 GOTLANDSDJ	135404	2006	7	0-10 m	25.7	1
