STATN	REG_ID	YEAR	MONTH	Depth_interval	mean	count
BY15 GOTLANDSDJ	135404	2011	10	0-10 m	0.62	1
BY15 GOTLANDSDJ	135404	2011	11	0-10 m	0.62	1
BY15 GOTLANDSDJ	135404	2011	12	0-10 m	0.6433333333333334	1
BY15 GOTLANDSDJ	135404	2012	1	0-10 m		0
BY15 GOTLANDSDJ	135404	2012	3	0-10 m	1.0433333333333332	1
BY15 GOTLANDSDJ	135404	2012	7	0-10 m	0.5966666666666667	1
BY15 GOTLANDSDJ	135404	2012	8	0-10 m	0.5366666666666667	1
BY15 GOTLANDSDJ	135404	2013	4	0-10 m	0.85	1
BY15 GOTLANDSDJ	135404	2013	5	0-10 m	0.6566666666666667	1
BY15 GOTLANDSDJ	135404	2013	6	0-10 m	0.48333333333333334	1
BY15 GOTLANDSDJ	135404	2013	7	0-10 m	0.44	1
BY15 GOTLANDSDJ	135404	2013	8	0-10 m	0.35	1
BY15 GOTLANDSDJ	135404	2013	9	0-10 m	0.37999999999999995	1
BY15 GOTLANDSDJ	135404	2013	10	0-10 m	0.4066666666666667	1
BY15 GOTLANDSDJ	135404	2013	11	0-10 m	0.47333333333333333	1
BY15 GOTLANDSDJ	135404	2013	12	0-10 m		0
BY15 GOTLANDSDJ	135404	2014	2	0-10 m	0.87	1
BY15 GOTLANDSDJ	135404	2014	3	0-10 m	0.9450000000000001	2
BY15 GOTLANDSDJ	135404	2014	4	0-10 m	0.9866666666666667	1
BY15 GOTLANDSDJ	135404	2014	6	0-10 m	0.71	1
BY15 GOTLANDSDJ	135404	2014	7	0-10 m	0.66	1
BY15 GOTLANDSDJ	135404	2014	8	0-10 m	0.7000000000000001	1
BY15 GOTLANDSDJ	135404	2014	9	0-10 m	0.6266666666666666	1
BY15 GOTLANDSDJ	135404	2014	10	0-10 m	0.6233333333333334	1
BY15 GOTLANDSDJ	135404	2014	11	0-10 m	0.7000000000000001	1
BY15 GOTLANDSDJ	135404	2014	12	0-10 m	0.8366666666666666	1
BY15 GOTLANDSDJ	135404	2015	1	0-10 m	1.0833333333333333	1
BY15 GOTLANDSDJ	135404	2015	2	0-10 m	1.0533333333333335	1
BY15 GOTLANDSDJ	135404	2015	3	0-10 m	1.0133333333333334	1
BY15 GOTLANDSDJ	135404	2015	6	0-10 m	0.7766666666666667	1
BY15 GOTLANDSDJ	135404	2015	7	0-10 m	0.7600000000000001	1
BY15 GOTLANDSDJ	135404	2015	9	0-10 m	0.58	1
BY15 GOTLANDSDJ	135404	2015	10	0-10 m	0.7633333333333333	1
BY15 GOTLANDSDJ	135404	2015	11	0-10 m	0.7166666666666667	1
BY15 GOTLANDSDJ	135404	2015	12	0-10 m	0.82	1
BY15 GOTLANDSDJ	135404	2016	1	0-10 m	1.01	1
BY15 GOTLANDSDJ	135404	2016	2	0-10 m	1.0666666666666667	1
